UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",temporadas utilizadas para os corredores endêmicos,ano,Unidade da Federação,Tipo,dado,escala
BR,207660929,0.03333352547813099,0,0.012704102772469377,0.037279340965441166,0.049669217694338616,18.0,7.0,23.0,11.0,8.0,17.0,"2010, 2011, 2014, 2015",2017,Brasil,País,sragflu,incidência
RegC,27644815,0.05985778080909788,0,0.019485703558918592,0.06266573818745473,0.08993794432478805,15.0,9.0,33.0,9.0,7.0,18.0,"2010, 2012, 2013, 2014, 2015",2017,Regional Centro,Regional,sragflu,incidência
RegL,67770757,0.012185004391086166,0,0.0058377063826972565,0.01882426546019777,0.02738876673871316,15.0,8.0,33.0,8.0,5.0,18.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Regional Leste,Regional,sragflu,incidência
RegN,16386007,0.024742294775545445,0,0.006878158970486364,0.031582295069782614,0.04022404803047275,10.0,9.0,22.0,6.0,3.0,9.0,"2011, 2012, 2014, 2015",2017,Regional Norte,Regional,sragflu,incidência
RegS,95859350,0.04687379181397859,0,0.01753658336637077,0.050089586915705864,0.06317264505289558,18.0,8.0,22.0,12.0,8.0,17.0,"2010, 2011, 2014, 2015",2017,Regional Sul,Regional,sragflu,incidência
11,1805788,1.4877529456550465,1,0.49999999999999994,2.051663905853429,3.0000000000000004,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015",2017,Rondônia,Estado,sragflu,casos
12,829619,1.7549855751376895,1,0.49999999999999994,2.4795652047903194,3.318167652118836,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Acre,Estado,sragflu,casos
13,4063614,1.7196135557372234,1,0.49999999999999994,2.2100738143980423,3.0,,,,,,,"2010, 2012, 2013, 2014, 2015, 2016",2017,Amazonas,Estado,sragflu,casos
14,522636,1.5271874797686942,1,0.5000000000000001,2.0590720911619798,3.0,,,,,,,"2012, 2013, 2016",2017,Roraima,Estado,sragflu,casos
15,8366628,5.807322403585965,0,1.3698102431539074,12.438872347269864,16.852813293506806,10.0,8.0,14.0,8.0,6.0,11.0,"2012, 2013, 2014, 2015",2017,Pará,Estado,sragflu,casos
16,797722,1.710789336081973,1,0.49999999999999994,2.5607459756906144,3.3331451248630817,,,,,,,"2010, 2012, 2013, 2016",2017,Amapá,Estado,sragflu,casos
17,1550194,1.0630747407665222,1,0.5,2.0,2.9999999999999996,,,,,,,"2010, 2011, 2012, 2013, 2014",2017,Tocantins,Estado,sragflu,casos
21,7000229,1.3490132501011827,1,0.5,2.0,2.9999999999999996,,,,,,,"2012, 2013, 2014, 2015, 2016",2017,Maranhão,Estado,sragflu,casos
22,3218485,2.357983070216068,1,0.49999999999999994,2.9393780175421322,3.8552527565965686,,,,,,,"2011, 2012, 2013, 2014, 2015, 2016",2017,Piauí,Estado,sragflu,casos
23,9021232,2.962722235700206,1,0.5,4.724615093444257,6.158050686528184,,,,,,,"2010, 2011, 2013, 2014, 2015, 2016",2017,Ceará,Estado,sragflu,casos
24,3507003,2.275921578929187,1,0.5,3.464158201225957,4.46140131141469,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Rio Grande do Norte,Estado,sragflu,casos
25,4025558,1.0329811394533108,1,0.49999999999999994,2.0,3.0000000000000004,,,,,,,"2010, 2012, 2013, 2015",2017,Paraíba,Estado,sragflu,casos
26,9473707,2.187354233237292,0,1.0067739851513684,3.167488533116539,4.071479458694521,24.0,7.0,46.0,3.0,1.0,10.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Pernambuco,Estado,sragflu,casos
27,3375382,1.2762915271831914,1,0.5,2.487433780868761,3.090871428496851,,,,,,,"2010, 2012, 2013, 2014, 2015",2017,Alagoas,Estado,sragflu,casos
28,2288116,1.305251871565951,1,0.5,2.0000000000000004,2.9999999999999996,,,,,,,"2010, 2015, 2016",2017,Sergipe,Estado,sragflu,casos
29,15344447,2.506826785439046,0,1.3940135758121015,3.552943177415191,4.546116028611514,22.0,8.0,48.0,9.0,1.0,14.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Bahia,Estado,sragflu,casos
31,21119536,10.312168205358189,0,3.378632185336354,14.721085629078518,24.534026948154292,20.0,15.0,36.0,10.0,8.0,15.0,"2011, 2012, 2014, 2015",2017,Minas Gerais,Estado,sragflu,casos
32,4016356,1.2486286419625894,1,0.5,2.0,2.9999999999999996,,,,,,,"2010, 2012, 2014, 2015",2017,Espírito Santo,Estado,sragflu,casos
33,16718956,3.896539980860249,0,2.810879105119165,4.8007419518993215,6.036751796098593,25.0,9.0,29.0,6.0,1.0,11.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Rio de Janeiro,Estado,sragflu,casos
35,45094866,14.379260808090834,0,8.518364588299889,27.411074533488716,43.72950624934301,17.0,17.0,19.0,10.0,8.0,10.0,"2010, 2011, 2014, 2015",2017,São Paulo,Estado,sragflu,casos
